"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALDH1L1",3170.19778416206,-6.67579532642881,1.0024022345572,-5.66219340975038,1.49450238473887e-08,3.63753460713697e-06
"PROKR1",17.477229916386,-6.4730221975254,1.3459890961092,-4.06617127385807,4.77918179688636e-05,0.00309322249558027
"LYVE1",4890.22977400022,-6.3373350931614,0.796208904766331,-6.70343556974885,2.03575479250438e-11,1.40719514277073e-08
"UTS2",18.4941070352502,6.95188724677721,1.35755007793957,4.38428559174092,1.16367029385461e-05,0.000953051485692011
"LILRB5",832.311764901916,-4.62844992227041,0.910447234165193,-3.98534894292628,6.73810320908118e-05,0.00414381357851003
"UBE2C",2664.10452900735,6.49501894107101,1.09218806676775,5.03120214207531,4.87413902512731e-07,6.79274165267944e-05
"ADAMTS5",3809.19365464278,-3.1040790614994,0.396850983244458,-5.30193737784768,1.14580148506937e-07,2.00006014782665e-05
"FAM107A",2431.42768510289,-4.3631818007984,0.546092780773402,-6.15862710368612,7.337827863443e-10,2.7566305066991e-07
"MMRN1",1697.20461527082,-4.29225750763729,0.756325884194132,-4.3529615691326,1.3431070183955e-05,0.00107954569232059
"TPX2",3934.23278403184,4.90131001422347,0.805591471227918,4.84278961925568,1.28028824809654e-06,0.000151538775447646
"MAST1",112.96401173616,5.45034135076503,0.939473208381633,4.73706041967001,2.16840532892189e-06,0.000235674292384272
"SIK2",8542.07175752407,-3.4935012890507,0.637822072568208,-3.90939949602332,9.25258402323547e-05,0.00534762222426529
"NCAPH",794.231895959002,4.48729194536266,0.842340178117357,4.14000428325383,3.4729933672306e-05,0.00235359993643576
"ABCA5",1530.97386500956,-1.8852095559724,0.211755889134779,-4.18033028308827,2.91085995664532e-05,0.00204481995572308
"MAPK8IP2",1638.01868621219,4.45281150895101,0.639062214733847,5.40293484631855,6.55592776971061e-08,1.23144551943879e-05
"BHMT2",1123.19938010038,-3.94558984382592,0.745063576147065,-3.95347449281899,7.70244783716862e-05,0.00458053538898849
"KIF4A",1003.2197079822,5.09100470216321,1.04958133166872,3.89774911074207,9.70909270244216e-05,0.00551917207206918
"PAMR1",1639.92918829283,-3.50533645889491,0.554773195497354,-4.51596522548078,6.30290078088359e-06,0.000565802458914773
"CCDC69",6527.49295539499,-4.15801116970556,0.69916886637921,-4.51680748609413,6.27789314719708e-06,0.000565802458914773
"PCOLCE2",5675.24529667539,-5.16792797508805,0.992524269107904,-4.19932096857868,2.67716606706709e-05,0.0019357366864011
"PCSK1N",210.929786907261,5.27084403521144,1.14137383871654,3.74184503826892,0.000182674150076709,0.00869639665971244
"CDH20",63.8284445148718,-7.47228771474181,1.28759744596656,-5.02663913711267,4.9915036288828e-07,6.84588684212093e-05
"UBE2T",989.38862221512,4.29639590987589,0.865877836315024,3.8069988301174,0.000140663410460448,0.00727785747355391
"TRHDE",313.602676329245,-6.44656349097794,1.14368132120883,-4.76230868684741,1.91390614690121e-06,0.000217593500819736
"DMGDH",436.404170002009,-4.29396363816742,0.790422634268067,-4.16734477905941,3.08168216087918e-05,0.00213873692458446
"KCNIP2",9244.49758724764,-7.24059674405953,1.05407740381483,-5.92043499032812,3.21091202499899e-09,9.40470689898433e-07
